UNIQUE_ID,Latitude,Longitude,TEMP,DO,flow_flag,risk_score,season,year,month,is_summer,DO_critical,stress_combo
W2377,42.06112594,-71.2165861,16.8,7.6,1,2,Summer,2019.0,6.0,1,0,0
W2834,41.96932455,-70.88343597,18.8,2.5,1,3,Summer,2019.0,6.0,1,1,0
W1501,41.99937253,-70.93768479,18.8,7.5,1,2,Summer,2019.0,6.0,1,0,0
W1499,42.02160209,-70.9505329,20.0,6.5,1,2,Summer,2019.0,6.0,1,0,0
W2405,41.99746222,-70.95386851,19.0,7.2,1,2,Summer,2019.0,6.0,1,0,0
W2831,41.99502786,-70.97075555,19.0,7.3,1,2,Summer,2019.0,6.0,1,0,0
W2829,41.99230816,-71.04277391,18.7,1.0,1,3,Summer,2019.0,6.0,1,1,0
W2832,41.9780221,-71.13417172,20.4,5.3,1,2,Summer,2019.0,6.0,1,0,0
W2830,42.01901335,-71.12591191,18.8,8.0,1,2,Summer,2019.0,6.0,1,0,0
W0868,42.05820916,-70.89995609,20.6,5.0,1,2,Summer,2019.0,6.0,1,0,0
W0869,42.04238758,-70.89846196,20.1,4.5,1,3,Summer,2019.0,6.0,1,1,0
W1498,42.03148922,-70.96656207,20.1,6.7,1,2,Summer,2019.0,6.0,1,0,0
W1497,42.04550631,-70.97074029,20.4,7.3,1,2,Summer,2019.0,6.0,1,0,0
W1495,42.03776122,-70.98465422,19.5,7.5,1,2,Summer,2019.0,6.0,1,0,0
W1494,42.05376462,-71.00977821,19.7,7.1,1,2,Summer,2019.0,6.0,1,0,0
W1493,42.07964645,-71.00930657,18.9,6.7,1,2,Summer,2019.0,6.0,1,0,0
W1490,42.07936711,-71.01406198,20.7,8.1,1,2,Summer,2019.0,6.0,1,0,0
W2838,41.83523239,-71.13593516,20.0,7.0,1,2,Summer,2019.0,7.0,1,0,0
W1508,41.88590512,-71.13411655,24.5,6.3,1,2,Summer,2019.0,7.0,1,0,0
W2372,41.90037801,-71.09399859,24.2,7.7,1,2,Summer,2019.0,7.0,1,0,0
W0821,41.93332037,-71.15426672,23.5,6.9,1,2,Summer,2019.0,7.0,1,0,0
W2835,41.946818,-71.16067131,24.3,7.4,1,2,Summer,2019.0,7.0,1,0,0
W0858,41.9471012,-71.1769499,24.3,7.0,1,2,Summer,2019.0,7.0,1,0,0
W2894,41.94672655,-71.20083966,24.7,7.1,1,2,Summer,2019.0,7.0,1,0,0
W1504,41.88611169,-71.02994049,24.2,5.1,1,2,Summer,2019.0,7.0,1,0,0
W0317,41.9074391,-70.91495236,24.2,4.7,1,3,Summer,2019.0,7.0,1,1,0
W0318,41.92174924,-70.92351752,24.2,2.0,1,3,Summer,2019.0,7.0,1,1,0
